"subject_str","subject_id","subject_type","predicate_org","predicate","relation","object_str","object_id","object_type","text"
"galileo","http://www.wikidata.org/entity/Q307","Person",NULL,"honour","award received","march","http://www.wikidata.org/entity/Q611694","Award","In March 2008, the head of the Pontifical Academy of Sciences, Nicola Cabibbo, announced a plan to honour Galileo by erecting a statue of him inside the Vatican walls."
"galyna grygorivna skibo","http://www.wikidata.org/entity/Q20069842","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","Galyna Grygorivna Skibo (; June 22, 1940) - Ukrainian scientist, doctor of medical sciences, professor, corresponding member of the National Academy of Sciences of Ukraine (2018), laureate of the awards of the National Academy of Sciences of Ukraine named after O.O. Bogomolets (1996) and P.G. Kostiuk (2019), winner of the State Prize of Ukraine in the field of science and technology (2013), Honored Worker of Science and Technology of Ukraine (2006), head of the Cytology department of the Bogomoletz Institute of Physiology NAS of Ukraine, professor of NSC ""Institute of Biology and Medicine"" of Taras Shevchenko National University of Kyiv."
"richard odingo","http://www.wikidata.org/entity/Q104903365","Person",NULL,"award","award received","peace prize","http://www.wikidata.org/entity/Q9639292","Award","Richard Odingo was a Kenyan scientist who was the Vice chairman of the Intergovernmental Panel on Climate Change (IPCC) when it was awarded the Nobel Peace prize in 2007 with Al Gore."
"john de","http://www.wikidata.org/entity/Q262841","Person",NULL,"medal","award received","medals","http://www.wikidata.org/entity/Q131647","Award","He was the recipient of medals of honour from Queen Wilhelmina of the Netherlands in 1938, Pope Pius XII on the occasion of the canonisation of St. John de Brito in 1947, President Ramon Grau of Cuba in 1949, and from President Eurico Gaspar Dutra of Brazil in 1950."
"eight","http://www.wikidata.org/entity/Q4530108","Person",NULL,"award","award received","doctor of science","http://www.wikidata.org/entity/Q4618975","Award","In 2000, he was awarded a Honorary Doctor of Science from the University of Colorado at Boulder along with eight other astronaut alums."
"steel","http://www.wikidata.org/entity/Q2005691","Person",NULL,"award","award received","award","http://www.wikidata.org/entity/Q66744316","Award","He is recipient of the AIP Walter Boas Medal (2000), the AIP award for contributions to Physics (2009), the IOP/AIP Harrie Massey Medal (2010) and the AOS Beattie Steel medal (2010)."
"spider-man","http://www.wikidata.org/entity/Q79037","Person",NULL,"win","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","From the character's inception, Spider-Man stories have won numerous awards, including:In other media."
"ruth bleier","http://www.wikidata.org/entity/Q18148474","Person",NULL,"award","award received","awards","http://www.wikidata.org/entity/Q66744316","Award","The University of Wisconsin annually awards the Ruth Bleier scholarships in order to encourage young women to go into careers studying the natural sciences, medicine, or engineering, and the University of Wisconsin's Department of History of Medicine has an endowed chair in her honor."
"shamsuddin rahimtoola","http://www.wikidata.org/entity/Q29452548","Person",NULL,"award","award received","lifetime achievement award","http://www.wikidata.org/entity/Q108138127","Award","The Dow University bestowed the 'Lifetime Achievement Award' on Shamsuddin Rahimtoola in 2013 to honor his commitment, dedication and contribution to the institution for over four decades."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","diploma","http://www.wikidata.org/entity/Q5978719","Award","In 1900, Einstein passed the exams in Maths and Physics and was awarded a Federal teaching diploma."
"di menna","http://www.wikidata.org/entity/Q16019676","Person",NULL,"award","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","In 1990, di Menna was awarded the New Zealand 1990 Commemoration Medal, and in the 1997 New Year Honours, she was appointed an Officer of the New Zealand Order of Merit, for services to microbiology."
"sheldon lee glashow","http://www.wikidata.org/entity/Q107420","Person",NULL,"win","award received","nobel","http://www.wikidata.org/entity/Q7191","Award","Sheldon Lee Glashow (, ; born December 5, 1932) is a Nobel Prize-winning American theoretical physicist."
"einstein","http://www.wikidata.org/entity/Q937","Person",NULL,"award","award received","diploma","http://www.wikidata.org/entity/Q13579013","Award","In 1900, Einstein passed the exams in Maths and Physics and was awarded a Federal teaching diploma."
"mendis","http://www.wikidata.org/entity/Q71094965","Person",NULL,"win","award received","medal","http://www.wikidata.org/entity/Q38593919","Award","Mendis won the 1991 Chalmers Medal from the Royal Society of Tropical Medicine and Hygiene, and the 1993 Bailey K. Ashford Medal from the American Society of Tropical Medicine and Hygiene."
