"ent_str","ent_id","ent_type","count"
"quantum","http://www.wikidata.org/entity/Q2866218","Language",56
"journalist","http://www.wikidata.org/entity/Q1930187","Profession",56
"founders","http://www.wikidata.org/entity/Q19435686","Profession",56
"quantum","http://www.wikidata.org/entity/Q29401","Language",56
"danish","http://www.wikidata.org/entity/Q24204852","Language",55
"danish","http://www.wikidata.org/entity/Q9035","Language",55
"astronaut","http://www.wikidata.org/entity/Q2868586","Profession",55
"research scientist","http://www.wikidata.org/entity/Q105574528","Profession",55
"south africa","http://www.wikidata.org/entity/Q258","Country",55
"egypt","http://www.wikidata.org/entity/Q79","Country",55
"astronaut","http://www.wikidata.org/entity/Q11631","Profession",55
"judge","http://www.wikidata.org/entity/Q52008310","Profession",54
"chancellor","http://www.wikidata.org/entity/Q61061","Award",54
"university of pennsylvania","http://www.wikidata.org/entity/Q49117","Language",54
"judge","http://www.wikidata.org/entity/Q52008306","Profession",54
"university of london","http://www.wikidata.org/entity/Q170027","Language",54
"geologist","http://www.wikidata.org/entity/Q520549","Profession",54
"doctor manhattan","http://www.wikidata.org/entity/Q2519257","Person",53
"bachelor of science","http://www.wikidata.org/entity/Q787674","Award",53
"doctor doom","http://www.wikidata.org/entity/Q430178","Person",52
"denmark","http://www.wikidata.org/entity/Q35","Country",52
"steven","http://www.wikidata.org/entity/Q657222","Language",52
"producer","http://www.wikidata.org/entity/Q13235160","Profession",52
"producer","http://www.wikidata.org/entity/Q1759246","Profession",52
"producer","http://www.wikidata.org/entity/Q578109","Profession",52
"producer","http://www.wikidata.org/entity/Q3922505","Profession",52
"doctor doom","http://www.wikidata.org/entity/Q3336797","Person",52
"producer","http://www.wikidata.org/entity/Q47541952","Profession",52
"producer","http://www.wikidata.org/entity/Q19826506","Profession",52
"creative","http://www.wikidata.org/entity/Q667982","Profession",51
"islam","http://www.wikidata.org/entity/Q432","Belief",51
"irish","http://www.wikidata.org/entity/Q9142","Language",51
"ambassador","http://www.wikidata.org/entity/Q121998","Profession",51
"lawyer","http://www.wikidata.org/entity/Q40348","Profession",51
"jor-el","http://www.wikidata.org/entity/Q2068759","Person",51
"arabic","http://www.wikidata.org/entity/Q13955","Language",51
"gwen stacy","http://www.wikidata.org/entity/Q98454800","Person",50
"bumblebee","http://www.wikidata.org/entity/Q2893593","Person",50
"marie","http://www.wikidata.org/entity/Q973685","Language",50
"peter parker","http://www.wikidata.org/entity/Q2343504","Person",50
"persian","http://www.wikidata.org/entity/Q9168","Language",50
"peter parker","http://www.wikidata.org/entity/Q79037","Person",50
"marie","http://www.wikidata.org/entity/Q6760942","Language",50
"marie","http://www.wikidata.org/entity/Q6760941","Language",50
"roger","http://www.wikidata.org/entity/Q277766","Person",49
"carter","http://www.wikidata.org/entity/Q1473046","Profession",49
"giganta","http://www.wikidata.org/entity/Q2318454","Person",48
"pages","http://www.wikidata.org/entity/Q855855","Award",48
"philosopher","http://www.wikidata.org/entity/Q4964182","Profession",48
"eighth doctor","http://www.wikidata.org/entity/Q945808","Person",48
"units","http://www.wikidata.org/entity/Q10387877","Language",48
"gold medal","http://www.wikidata.org/entity/Q15243387","Award",48
"pages","http://www.wikidata.org/entity/Q60741299","Award",48
"masters","http://www.wikidata.org/entity/Q96678236","Award",47
"wings","http://www.wikidata.org/entity/Q4698575","Award",47
"finland","http://www.wikidata.org/entity/Q33","Country",47
"baron","http://www.wikidata.org/entity/Q57979447","Award",47
"masters","http://www.wikidata.org/entity/Q1459149","Profession",47
"masters","http://www.wikidata.org/entity/Q1641418","Profession",47
"masters","http://www.wikidata.org/entity/Q183816","Award",47
"baron","http://www.wikidata.org/entity/Q165503","Award",47
"czech","http://www.wikidata.org/entity/Q9056","Language",47
"kazakhstan","http://www.wikidata.org/entity/Q232","Country",47
"masters","http://www.wikidata.org/entity/Q3297843","Award",47
"physicists","http://www.wikidata.org/entity/Q169470","Profession",46
"sweden","http://www.wikidata.org/entity/Q34","Country",46
"psychologist","http://www.wikidata.org/entity/Q212980","Profession",46
"astronomer","http://www.wikidata.org/entity/Q11063","Profession",46
"academy of science","http://www.wikidata.org/entity/Q414147","Professional Society",45
"canon","http://www.wikidata.org/entity/Q1486543","Profession",45
"grade","http://www.wikidata.org/entity/Q17018626","Profession",45
"editor-in-chief","http://www.wikidata.org/entity/Q589298","Profession",45
"the tenth doctor","http://www.wikidata.org/entity/Q2656347","Person",45
"academy of science","http://www.wikidata.org/entity/Q414147","Scientific Society",45
"mr freeze","http://www.wikidata.org/entity/Q557584","Person",45
"braddock","http://www.wikidata.org/entity/Q2405949","Person",45
"canon","http://www.wikidata.org/entity/Q1237385","Award",45
"board member","http://www.wikidata.org/entity/Q2824523","Profession",44
"actors","http://www.wikidata.org/entity/Q10798782","Profession",44
"davis","http://www.wikidata.org/entity/Q129421","Language",44
"actors","http://www.wikidata.org/entity/Q33999","Profession",44
"comes","http://www.wikidata.org/entity/Q1071047","Award",44
"tradition","http://www.wikidata.org/entity/Q109335991","Belief",44
"reader","http://www.wikidata.org/entity/Q3445082","Profession",43
"faber","http://www.wikidata.org/entity/Q11921456","Profession",43
"reader","http://www.wikidata.org/entity/Q1553123","Profession",43
"wright","http://www.wikidata.org/entity/Q21062253","Person",43
"doctor of philosophy","http://www.wikidata.org/entity/Q752297","Award",43
"hunter","http://www.wikidata.org/entity/Q1714828","Profession",43
"preparation","http://www.wikidata.org/entity/Q1640478","Profession",43
"bachelor of science degree","http://www.wikidata.org/entity/Q787674","Award",43
"doctor of philosophy","http://www.wikidata.org/entity/Q752297","Doctoral Degree",43
"member of the board","http://www.wikidata.org/entity/Q2824523","Profession",42
"economist","http://www.wikidata.org/entity/Q188094","Profession",42
"internship","http://www.wikidata.org/entity/Q5422064","Profession",42
"economist","http://www.wikidata.org/entity/Q1227195","Profession",42
"wonder woman","http://www.wikidata.org/entity/Q978044","Profession",42
"hebrew","http://www.wikidata.org/entity/Q9288","Language",42
"titles","http://www.wikidata.org/entity/Q4121104","Award",42
"speaker","http://www.wikidata.org/entity/Q12859263","Profession",42
"trustee","http://www.wikidata.org/entity/Q67378402","Profession",42
"polar","http://www.wikidata.org/entity/Q105094268","Award",42
"swedish","http://www.wikidata.org/entity/Q9027","Language",42
"russian federation","http://www.wikidata.org/entity/Q159","Country",42
"entrepreneur","http://www.wikidata.org/entity/Q10501288","Profession",42
"trustee","http://www.wikidata.org/entity/Q2047357","Profession",42
"medical degree","http://www.wikidata.org/entity/Q6806503","Award",42
"titles","http://www.wikidata.org/entity/Q3562482","Award",42
"entrepreneur","http://www.wikidata.org/entity/Q131524","Profession",42
